Player,Squad,Comp,Pos,Min,Gls,Ast,Sh,SoT,goals_per_90,assists_per_90,shots_per_90,sot_per_90,shot_accuracy,goal_efficiency,contribution,score
Brenden Aaronson,Leeds United,eng Premier League,"MF,FW",2220,4,5,43,16,0.16216216216216217,0.20270270270270271,1.7432432432432432,0.6486486486486487,0.37209302325581395,0.09302325581395349,9,0.044280326838466375
Jones El-Abdellaoui,Celta Vigo,es La Liga,"MF,FW",638,2,0,16,4,0.28213166144200624,0.0,2.25705329153605,0.5642633228840125,0.25,0.125,2,0.05885579937304075
Matthis Abline,Nantes,fr Ligue 1,"FW,MF",2323,5,3,76,21,0.19371502367628068,0.11622901420576841,2.9444683598794663,0.8136030994403788,0.27631578947368424,0.06578947368421052,8,0.05009289258445296
Tammy Abraham,Aston Villa,eng Premier League,FW,227,2,0,9,3,0.7929515418502203,0.0,3.5682819383259914,1.1894273127753305,0.3333333333333333,0.2222222222222222,2,0.1149290259422418
Giorgi Abuashvili,Metz,fr Ligue 1,"MF,FW",556,2,0,17,7,0.32374100719424465,0.0,2.7517985611510793,1.1330935251798562,0.4117647058823529,0.11764705882352941,2,0.06381718154887855
Ragnar Ache,Köln,de Bundesliga,FW,1718,7,4,52,22,0.36670547147846333,0.20954598370197905,2.724097788125728,1.1525029103608846,0.4230769230769231,0.1346153846153846,11,0.07139339124205249
Akor Adams,Sevilla,es La Liga,FW,1846,8,3,55,27,0.39003250270855905,0.14626218851570966,2.6814734561213434,1.3163596966413869,0.4909090909090909,0.14545454545454545,11,0.07361961981680291
Che Adams,Torino,it Serie A,FW,1826,5,2,48,14,0.24644030668127054,0.09857612267250822,2.365826944140197,0.6900328587075575,0.2916666666666667,0.10416666666666667,7,0.055006389193136176
Junior Adamu,Freiburg,de Bundesliga,FW,446,1,1,8,3,0.20179372197309417,0.20179372197309417,1.6143497757847534,0.6053811659192826,0.375,0.125,2,0.05145739910313901
Karim Adeyemi,Dortmund,de Bundesliga,"MF,FW",1170,7,3,31,14,0.5384615384615385,0.23076923076923078,2.3846153846153846,1.076923076923077,0.45161290322580644,0.22580645161290322,10,0.09524676040805075
Simon Adingra,Sunderland,eng Premier League,"MF,FW",653,1,0,6,2,0.13782542113323124,0.0,0.8269525267993875,0.27565084226646247,0.3333333333333333,0.16666666666666666,1,0.04742215416028586
Simon Adingra,Monaco,fr Ligue 1,"MF,FW",666,3,1,17,5,0.40540540540540543,0.13513513513513514,2.2972972972972974,0.6756756756756757,0.29411764705882354,0.17647058823529413,4,0.07703585938880059
Tosin Aiyegun,Lorient,fr Ligue 1,"MF,FW",957,4,0,25,10,0.3761755485893417,0.0,2.3510971786833856,0.9404388714733543,0.4,0.16,4,0.07128944618599792
Junior Ajayi,Hellas Verona,it Serie A,FW,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ludovic Ajorque,Brest,fr Ligue 1,FW,2460,7,9,47,15,0.25609756097560976,0.32926829268292684,1.719512195121951,0.5487804878048781,0.3191489361702128,0.14893617021276595,16,0.061250648676699535
Ilias Akhomach,Rayo Vallecano,es La Liga,"MF,FW",709,0,1,18,6,0.0,0.12693935119887165,2.2849083215796897,0.7616361071932299,0.3333333333333333,0.0,1,0.021720733427362485
Maghnes Akliouche,Monaco,fr Ligue 1,"MF,FW",2154,6,5,44,17,0.25069637883008355,0.20891364902506962,1.8384401114206128,0.7103064066852367,0.38636363636363635,0.13636363636363635,11,0.05819194732843758
Agustín Albarracín,Cagliari,it Serie A,FW,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Mathis Albert,Dortmund,de Bundesliga,FW,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Alexandre Alemão,Rayo Vallecano,es La Liga,FW,902,2,0,19,9,0.19955654101995565,0.0,1.8957871396895787,0.8980044345898004,0.47368421052631576,0.10526315789473684,2,0.04766017038160812
Mohamed Ali Cho,Nice,fr Ligue 1,"FW,MF",1477,4,3,25,12,0.24373730534867974,0.18280297901150983,1.5233581584292484,0.7312119160460393,0.48,0.16,7,0.05948815165876777
Thiago Almada,Atlético Madrid,es La Liga,"MF,FW",1119,3,1,19,10,0.24128686327077747,0.08042895442359249,1.5281501340482573,0.8042895442359249,0.5263157894736842,0.15789473684210525,4,0.057852405813461266
Hugo Álvarez,Celta Vigo,es La Liga,"FW,MF",1148,3,1,10,5,0.23519163763066203,0.078397212543554,0.7839721254355401,0.39198606271777003,0.5,0.3,4,0.07933797909407665
Julián Álvarez,Atlético Madrid,es La Liga,FW,1895,8,4,54,26,0.37994722955145116,0.18997361477572558,2.5646437994722957,1.2348284960422162,0.48148148148148145,0.14814814814814814,12,0.07311247923385127
Ayoube Amaimouni Echghouyab,Eintracht Frankfurt,de Bundesliga,"MF,FW",563,2,3,12,7,0.3197158081705151,0.47957371225577267,1.9182948490230907,1.119005328596803,0.5833333333333334,0.16666666666666666,5,0.07134399052693902
Jaydon Amauri Banel,Burnley,eng Premier League,"FW,MF",10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
